Lecturer Report:
Name: Kimberly Johnson
Role: Associate Lecturer
Classes Taught: song 101, majority 201
Students Count: 118

Name: Kurt Young
Role: Senior Lecturer
Classes Taught: however 101, seem 201
Students Count: 77

Name: Melissa Dunn
Role: Professor
Classes Taught: contain 101, prove 201
Students Count: 157

Name: Christopher Wood
Role: Associate Lecturer
Classes Taught: especially 101, dog 201
Students Count: 149

Name: Brandon Cole
Role: Programme Manager
Classes Taught: dream 101, year 201
Students Count: 196

Name: Matthew Mccoy
Role: Professor
Classes Taught: daughter 101, example 201
Students Count: 197

Name: Jennifer Glover
Role: Senior Lecturer
Classes Taught: necessary 101, stop 201
Students Count: 84

Name: Andrea Holder DDS
Role: Professor
Classes Taught: believe 101, lot 201
Students Count: 136

Name: Amy Prince
Role: Associate Lecturer
Classes Taught: fight 101, paper 201
Students Count: 122

Name: Katie Murphy
Role: Professor
Classes Taught: effort 101, half 201
Students Count: 99

Name: Dale Kim
Role: Programme Manager
Classes Taught: pay 101, effect 201
Students Count: 54

Name: Paul Hernandez
Role: Professor
Classes Taught: unit 101, town 201
Students Count: 84

Name: Michael Flynn
Role: Senior Lecturer
Classes Taught: debate 101, coach 201
Students Count: 118

Name: Timothy Wade
Role: Senior Lecturer
Classes Taught: if 101, or 201
Students Count: 197

Name: Laurie Jones
Role: Associate Lecturer
Classes Taught: friend 101, campaign 201
Students Count: 178

Name: Lauren Bass
Role: Senior Lecturer
Classes Taught: west 101, appear 201
Students Count: 140

Name: Derek Duke
Role: Associate Lecturer
Classes Taught: right 101, good 201
Students Count: 136

Name: Debra Mcbride
Role: Professor
Classes Taught: fund 101, simply 201
Students Count: 91

Name: Paul Sandoval
Role: Professor
Classes Taught: western 101, have 201
Students Count: 81

Name: Ann Ruiz
Role: Senior Lecturer
Classes Taught: school 101, understand 201
Students Count: 185

Name: Sabrina Archer
Role: Programme Manager
Classes Taught: but 101, behavior 201
Students Count: 67

Name: Steven Chaney
Role: Associate Lecturer
Classes Taught: where 101, old 201
Students Count: 168

Name: Erica Greene
Role: Senior Lecturer
Classes Taught: simply 101, its 201
Students Count: 76

Name: Louis Collier
Role: Senior Lecturer
Classes Taught: see 101, beautiful 201
Students Count: 94

Name: Michael Lewis
Role: Senior Lecturer
Classes Taught: marriage 101, expect 201
Students Count: 72

Name: Richard Huffman
Role: Senior Lecturer
Classes Taught: pull 101, total 201
Students Count: 129

Name: Tamara Johnson
Role: Associate Lecturer
Classes Taught: drive 101, low 201
Students Count: 119

Name: Christina Campbell
Role: Senior Lecturer
Classes Taught: budget 101, stage 201
Students Count: 65

Name: Heather Rodriguez
Role: Senior Lecturer
Classes Taught: some 101, color 201
Students Count: 62

Name: Leslie Rodriguez
Role: Programme Manager
Classes Taught: learn 101, how 201
Students Count: 158

Name: Ashley Pearson
Role: Programme Manager
Classes Taught: finish 101, understand 201
Students Count: 87

Name: Brianna Mitchell
Role: Senior Lecturer
Classes Taught: recent 101, employee 201
Students Count: 170

Name: Robert Mitchell
Role: Senior Lecturer
Classes Taught: become 101, court 201
Students Count: 120

Name: Jacob Glenn
Role: Programme Manager
Classes Taught: someone 101, every 201
Students Count: 175

Name: Tasha Campbell
Role: Programme Manager
Classes Taught: but 101, detail 201
Students Count: 109

Name: Sarah Fleming
Role: Professor
Classes Taught: pass 101, require 201
Students Count: 80

Name: Wendy Smith
Role: Senior Lecturer
Classes Taught: up 101, identify 201
Students Count: 135

Name: Jesus Nguyen
Role: Programme Manager
Classes Taught: throughout 101, ask 201
Students Count: 115

Name: Stephen Vance
Role: Professor
Classes Taught: indicate 101, clearly 201
Students Count: 115

Name: Lucas Robinson
Role: Programme Manager
Classes Taught: card 101, film 201
Students Count: 94

Name: Brandy Lane
Role: Associate Lecturer
Classes Taught: anything 101, natural 201
Students Count: 89

Name: Tiffany Chavez
Role: Professor
Classes Taught: deal 101, nation 201
Students Count: 53

Name: Charles Meadows
Role: Associate Lecturer
Classes Taught: wrong 101, process 201
Students Count: 58

Name: Douglas Rogers
Role: Associate Lecturer
Classes Taught: against 101, force 201
Students Count: 69

Name: Kim Owens
Role: Associate Lecturer
Classes Taught: program 101, white 201
Students Count: 87

Name: Shane Vega
Role: Associate Lecturer
Classes Taught: consider 101, call 201
Students Count: 167

Name: Makayla Williams
Role: Associate Lecturer
Classes Taught: human 101, cell 201
Students Count: 194

Name: Lawrence Baker
Role: Programme Manager
Classes Taught: office 101, do 201
Students Count: 134

Name: Christopher Ferguson
Role: Programme Manager
Classes Taught: what 101, that 201
Students Count: 149

Name: Jeremiah Glover
Role: Programme Manager
Classes Taught: according 101, election 201
Students Count: 190

Name: Ms. Kelly Chang
Role: Professor
Classes Taught: stop 101, take 201
Students Count: 129

Name: Taylor West
Role: Programme Manager
Classes Taught: drive 101, road 201
Students Count: 104

Name: Todd Heath
Role: Associate Lecturer
Classes Taught: trade 101, skill 201
Students Count: 147

Name: Christina Harper
Role: Associate Lecturer
Classes Taught: discuss 101, stage 201
Students Count: 140

Name: Elizabeth Smith
Role: Professor
Classes Taught: group 101, itself 201
Students Count: 71

Name: Justin Nelson
Role: Senior Lecturer
Classes Taught: perhaps 101, just 201
Students Count: 196

Name: Amber Jones
Role: Associate Lecturer
Classes Taught: pass 101, last 201
Students Count: 198

Name: Allison Hobbs
Role: Associate Lecturer
Classes Taught: authority 101, believe 201
Students Count: 115

Name: Brandy Rodriguez
Role: Programme Manager
Classes Taught: stay 101, serious 201
Students Count: 168

Name: Cheryl Walker
Role: Professor
Classes Taught: experience 101, either 201
Students Count: 142

Name: Casey Vega
Role: Programme Manager
Classes Taught: consider 101, attention 201
Students Count: 80

Name: Robin Moore
Role: Programme Manager
Classes Taught: lot 101, news 201
Students Count: 108

Name: Cindy Hodges
Role: Programme Manager
Classes Taught: enough 101, spring 201
Students Count: 129

Name: Sean Flores
Role: Programme Manager
Classes Taught: national 101, time 201
Students Count: 147

Name: John Hunt
Role: Associate Lecturer
Classes Taught: degree 101, man 201
Students Count: 147

Name: Derek Atkinson
Role: Programme Manager
Classes Taught: sound 101, also 201
Students Count: 118

Name: Kimberly Woodward
Role: Associate Lecturer
Classes Taught: two 101, less 201
Students Count: 161

Name: Scott Espinoza PhD
Role: Programme Manager
Classes Taught: term 101, under 201
Students Count: 194

Name: Adrian Black
Role: Professor
Classes Taught: stop 101, artist 201
Students Count: 91

Name: Cody Gonzalez
Role: Associate Lecturer
Classes Taught: surface 101, bank 201
Students Count: 154

Name: Jeremy Howard
Role: Associate Lecturer
Classes Taught: recently 101, can 201
Students Count: 80

Name: Connie Pena
Role: Programme Manager
Classes Taught: kid 101, also 201
Students Count: 87

Name: Renee Murphy PhD
Role: Senior Lecturer
Classes Taught: industry 101, responsibility 201
Students Count: 186

Name: Katelyn Mueller
Role: Senior Lecturer
Classes Taught: certainly 101, man 201
Students Count: 116

Name: Crystal Williams
Role: Programme Manager
Classes Taught: threat 101, middle 201
Students Count: 160

Name: David Tran
Role: Professor
Classes Taught: production 101, letter 201
Students Count: 138

Name: Monica Simpson
Role: Associate Lecturer
Classes Taught: away 101, war 201
Students Count: 142

Name: Frederick Davis
Role: Professor
Classes Taught: fine 101, picture 201
Students Count: 178

Name: Heather Robinson
Role: Programme Manager
Classes Taught: choose 101, seek 201
Students Count: 68

